,Source,Target,Type,RawWeight,Weight
649,14,37,Undirected,4,0
650,24,44,Undirected,2,0
651,24,45,Undirected,4,0.354275507617206
652,24,46,Undirected,1,0
653,24,47,Undirected,9,0.194574664749694
654,24,48,Undirected,5,0
655,24,49,Undirected,2,0
656,4,44,Undirected,3,0
657,4,45,Undirected,3,0
658,4,46,Undirected,5,0
659,4,47,Undirected,13,0
660,4,48,Undirected,15,0
661,4,49,Undirected,3,0
662,3,44,Undirected,3,0
663,3,45,Undirected,3,0
664,3,46,Undirected,6,0
665,3,47,Undirected,13,0
666,3,48,Undirected,15,0
667,3,49,Undirected,3,0
668,25,44,Undirected,3,0
669,25,45,Undirected,4,0
670,25,46,Undirected,6,0
671,25,47,Undirected,12,0
672,25,48,Undirected,15,0
673,25,49,Undirected,3,0
674,26,44,Undirected,1,0
675,15,26,Undirected,15,0
676,26,45,Undirected,2,0
677,26,46,Undirected,4,0
678,14,26,Undirected,7,0
679,26,47,Undirected,8,0
680,26,48,Undirected,7,0
681,26,49,Undirected,2,0
682,5,44,Undirected,1,0
683,5,45,Undirected,2,0
684,5,46,Undirected,3,0
685,5,47,Undirected,5,0
686,5,48,Undirected,11,0
687,5,49,Undirected,2,0
688,7,44,Undirected,2,0
689,7,45,Undirected,4,0
690,7,46,Undirected,6,0
691,7,47,Undirected,12,0
692,7,48,Undirected,12,0
693,7,49,Undirected,3,0
694,8,44,Undirected,2,0
695,15,44,Undirected,3,0
696,44,45,Undirected,1,0.636822097587174
697,18,44,Undirected,2,0
698,44,46,Undirected,1,0.460730838531493
699,14,44,Undirected,1,0
700,34,44,Undirected,2,0
701,44,47,Undirected,1,0
702,44,48,Undirected,1,0
703,44,49,Undirected,1,0.761760834195474
704,19,44,Undirected,3,0
705,21,44,Undirected,3,0
706,8,45,Undirected,3,0
707,8,46,Undirected,3,0
708,8,47,Undirected,10,0
709,8,48,Undirected,13,0
710,8,49,Undirected,2,0
711,15,45,Undirected,4,0
712,15,46,Undirected,5,0
713,15,47,Undirected,10,0
714,15,48,Undirected,11,0
715,15,49,Undirected,3,0
716,18,45,Undirected,4,0.26884531229258
717,45,46,Undirected,1,0.335792101923193
718,14,45,Undirected,2,0
719,34,45,Undirected,4,0
720,45,47,Undirected,1,0
721,45,48,Undirected,2,0
722,45,49,Undirected,2,0.937852093251155
