Source,Target,Type,RawWeight,Weight
3,12,Undirected,28,-0.000999527442126594
3,13,Undirected,4,-0.0826695738934462
3,14,Undirected,66,0.00770957195565247
3,15,Undirected,16,-0.0120884996077389
3,16,Undirected,42,0.0142404391146103
3,17,Undirected,80,0.00351657372283711
3,18,Undirected,6,0.0142404391146103
3,19,Undirected,7,0.0142404391146103
3,20,Undirected,4,0.0142404391146103
3,21,Undirected,57,0.00668730122416435
3,22,Undirected,78,-0.00214997707355908
3,23,Undirected,60,0.00706185448748685
4,5,Undirected,30,-0.0570959720369651
4,6,Undirected,28,-0.0102191651816861
4,7,Undirected,74,0.0167254918688617
4,8,Undirected,70,-0.00173105495616714
4,9,Undirected,38,0.0227034869006784
4,10,Undirected,64,0.0013153805569993
4,11,Undirected,26,-0.0281634094384771
4,12,Undirected,28,0.0187445307536306
4,13,Undirected,5,0.0339844973103674
4,14,Undirected,61,-0.00676047037969202
4,15,Undirected,15,-0.0203731650122253
4,16,Undirected,41,0.0235190636322024
4,17,Undirected,76,0.000984237207442041
4,18,Undirected,6,0.0339844973103674
4,19,Undirected,6,-0.0329622923202458
4,20,Undirected,4,0.0339844973103674
4,21,Undirected,55,0.0109191932416739
4,22,Undirected,74,-0.00526880183730616
4,23,Undirected,60,0.026805912683244
5,6,Undirected,15,0.0850107897083487
5,7,Undirected,27,-0.0548457365265545
5,8,Undirected,29,-0.0181343698948952
5,9,Undirected,17,0.0396655388387149
5,10,Undirected,27,-0.00720410209132794
5,11,Undirected,13,0.0371033220741144
5,12,Undirected,9,-0.107874263972691
5,13,Undirected,3,0.178432474870584
5,14,Undirected,31,0.0655681156203863
5,15,Undirected,8,0.0729222901006098
5,16,Undirected,21,0.0992512288229589
5,17,Undirected,32,-0.00838264957687057
5,18,Undirected,4,0.224189965431259
5,19,Undirected,4,0.157243175800646
5,20,Undirected,2,0.0992512288229589
5,21,Undirected,24,0.0170644726356089
5,22,Undirected,35,0.035864249958566
5,23,Undirected,22,-0.0426259297016207
6,7,Undirected,25,-0.0114294617807819
6,8,Undirected,27,0.0276714265978584
6,9,Undirected,14,0.0321846833714012
6,10,Undirected,20,-0.0606978403536117
6,11,Undirected,12,0.0791812460476248
6,12,Undirected,7,-0.140178703165037
6,13,Undirected,4,0.380211241711606
6,14,Undirected,18,-0.0936810428778579
6,15,Undirected,9,0.200914842780713
6,16,Undirected,18,0.109144469425068
6,17,Undirected,27,-0.00532883350506695
6,18,Undirected,2,-4.82163733276644e-17
6,19,Undirected,4,0.234083206033368
6,20,Undirected,4,0.477121254719662
6,21,Undirected,15,-0.110215479787594
6,22,Undirected,27,0
6,23,Undirected,21,0.0140107144428146
7,8,Undirected,64,0.00735860508454911
7,9,Undirected,35,0.0349956607052296
7,10,Undirected,58,0.00657112620713523
7,11,Undirected,22,-0.052706350516003
7,12,Undirected,27,0.0509579896414844
7,13,Undirected,4,-0.0149177896266032
7,14,Undirected,55,-0.00371988982512934
7,15,Undirected,12,-0.0692754519491959
7,16,Undirected,35,0.00281097733382844
7,17,Undirected,68,0.000687283703972869
7,18,Undirected,6,0.0819922233814532
7,19,Undirected,6,0.0150454337508401
7,20,Undirected,4,0.0819922233814533
7,21,Undirected,47,-0.00933791224576654
7,22,Undirected,66,-0.00694885995532785
7,23,Undirected,58,0.0600903819336235
8,9,Undirected,31,-0.0120335569190828
8,10,Undirected,57,0.00469512120837987
8,11,Undirected,21,-0.0672326037125994
8,12,Undirected,24,0.00548260008579368
8,13,Undirected,5,0.0876693562731437
8,14,Undirected,56,0.00978258057851778
8,15,Undirected,14,0.0033484705731079
8,16,Undirected,34,-0.00410101708250158
8,17,Undirected,68,0.00636441659566337
8,18,Undirected,6,0.0876693562731437
8,19,Undirected,6,0.0207225666425306
8,20,Undirected,3,-0.0372693803351562
8,21,Undirected,48,0.00548260008579368
8,22,Undirected,67,0.00525914009532041
8,23,Undirected,52,0.0183428648971759
9,10,Undirected,32,0.0437192291100866
9,11,Undirected,10,-0.0997029131922266
9,12,Undirected,18,0.170292848731786
9,13,Undirected,2,-0.0205216671446017
9,14,Undirected,28,-0.00149842983117132
9,15,Undirected,9,0.101211929588487
9,16,Undirected,18,0.00944155623284158
9,17,Undirected,31,-0.0450338170220082
9,18,Undirected,3,0.0763883458634548
9,19,Undirected,3,0.00944155623284158
9,20,Undirected,2,0.0763883458634547
9,21,Undirected,25,0.0119303566365363
9,22,Undirected,36,0.0252358234160734
9,23,Undirected,29,0.054486504415625
10,11,Undirected,24,0.0327238448086234
10,12,Undirected,24,0.0474471016293297
10,13,Undirected,3,-0.0922148917996766
10,14,Undirected,49,-0.00624486485563296
10,15,Undirected,14,0.045312972116644
10,16,Undirected,33,0.0248985072966668
10,17,Undirected,61,0.00114984044373021
10,18,Undirected,4,-0.0464574012390014
10,19,Undirected,6,0.0626870681860666
10,20,Undirected,4,0.12963385781668
10,21,Undirected,46,0.0289636959353166
